tweet,tweet_tokenized
"Me alegra mucho escuchar a venezolanos que se hayan podido vacunar. Es un derecho para todos.  Lo que no podemos pensar es porque unos han podido, es una realidad en todo el país.  #ChacaoExigeVacunasSinCarnet","['alegra', 'escuchar', 'venezolanos', 'podido', 'vacunar', 'derecho', 'podemos', 'pensar', 'podido', 'realidad', 'país', 'chacaoexigevacunassincarnet']"
Chacao exige vacunas sin política. Chacao exige vacunas para todos. #ChacaoExigeVacunasSinCarnet,"['chacao', 'exige', 'vacunas', 'política', 'chacao', 'exige', 'vacunas', 'chacaoexigevacunassincarnet']"
"Ayer conversaba con Soledad, una vecina de El Bosque que me comentó que sus hijos y nietos que viven afuera ya están vacunados. Y ella, que se ha inscrito en cuanta página hay, sigue desamparada y sin poder vacunarse.  #ChacaoExigeVacunasSinCarnet","['ayer', 'conversaba', 'soledad', 'vecina', 'bosque', 'comentó', 'hijos', 'nietos', 'viven', 'afuera', 'vacunados', 'inscrito', 'cuanta', 'página', 'sigue', 'desamparada', 'poder', 'vacunarse', 'chacaoexigevacunassincarnet']"
"Chacao es un municipio con una clase media golpeada, disminuida y abandonada. Muchos de nuestros vecinos son adultos mayores que están solos en Venezuela.  #ChacaoExigeVacunasSinCarnet","['chacao', 'municipio', 'clase', 'media', 'golpeada', 'disminuida', 'abandonada', 'vecinos', 'adultos', 'mayores', 'solos', 'venezuela', 'chacaoexigevacunassincarnet']"
Es necesario atender la gran parte de nuestros vecinos que son población vulnerable.  #ChacaoExigeVacunasSinCarnet,"['necesario', 'atender', 'gran', 'parte', 'vecinos', 'población', 'vulnerable', 'chacaoexigevacunassincarnet']"
El proceso de vacunación en Chacao ha sido coordinado por los miembros del PSUV en el municipio. Como ciudadanos y vecinos exigimos un plan de vacunación transparente y sin politización.  #ChacaoExigeVacunasSinCarnet,"['proceso', 'vacunación', 'chacao', 'sido', 'coordinado', 'miembros', 'psuv', 'municipio', 'ciudadanos', 'vecinos', 'exigimos', 'plan', 'vacunación', 'transparente', 'politización', 'chacaoexigevacunassincarnet']"
"Vecinos! Hoy a las 7pm alcemos nuestra voz, vacunas para todos y sin ningún carnet.  #ChacaoExigeVacunasSinCarnet  https://t.co/9eJspsCmiB","['vecinos', 'hoy', 'pm', 'alcemos', 'voz', 'vacunas', 'ningún', 'carnet', 'chacaoexigevacunassincarnet']"
"Ayer una vecina del bosque me comentó que sus hijos que viven afuera ya están vacunados y que pronto sus nietos lo estarán.  Ella está aquí sola, se ha inscrito en cuanta página hay y todavía no recibe el famoso SMS.  Un Estado que desampara a sus ciudadanos.  #VacunasParaTodos","['ayer', 'vecina', 'bosque', 'comentó', 'hijos', 'viven', 'afuera', 'vacunados', 'pronto', 'nietos', 'aquí', 'sola', 'inscrito', 'cuanta', 'página', 'todavía', 'recibe', 'famoso', 'sms', 'desampara', 'ciudadanos', 'vacunasparatodos']"
"A los vecinos de Chacao que pasan días y semanas sin agua, vamos a sumarnos a la etiqueta #SinPresiónNoHayAgua y denunciar cuánto tiempo tenemos sin ella.   La presión ciudadana es clave en esta lucha.  https://t.co/fuGQtCjyUK","['vecinos', 'chacao', 'pasan', 'días', 'semanas', 'agua', 'vamos', 'sumarnos', 'etiqueta', 'sinpresiónnohayagua', 'denunciar', 'cuánto', 'tiempo', 'presión', 'ciudadana', 'clave', 'lucha']"
En Chacao la crisis del agua es muy compleja. Como vecinos tenemos que elevar nuestra voz y exigir nuestro derecho al agua.  #SinPresiónNoHayAgua  https://t.co/9r9jYDVCpk,"['chacao', 'crisis', 'agua', 'compleja', 'vecinos', 'elevar', 'voz', 'exigir', 'derecho', 'agua', 'sinpresiónnohayagua']"
