tweet,tweet_tokenized
Ahora si es verdad que nos jodimos.,"['ahora', 'si', 'verdad', 'jodimos']"
Que miedo da Di Maria ....,"['miedo', 'da', 'di', 'maria']"
SON UNOS MALDITOS CRACKS,"['malditos', 'cracks']"
GOOOOOOOL NOJODAAAAAA,"['goooooool', 'nojodaaaaaa']"
Que betulio de pana.,"['betulio', 'pana']"
Se dan cuenta que su error fue tan pero tan grande... Que es capaz de hacer lo que sea para llamar la atención otra vez.,"['dan', 'cuenta', 'error', 'tan', 'tan', 'grande', 'capaz', 'hacer', 'llamar', 'atención', 'vez']"
Aveces la gente es capaz de caer tan bajo.,"['aveces', 'gente', 'capaz', 'caer', 'tan', 'bajo']"
Te das cuenta que tenias razón en su momento y que la gente que esta contigo también.,"['das', 'cuenta', 'tenias', 'razón', 'momento', 'gente', 'contigo']"
Es incomparable...,['incomparable']
Esa satisfacción que te da cuando pasa el tiempo y compruebas que tu decisión fue lo mejor que pudiste hacer.,"['satisfacción', 'da', 'pasa', 'tiempo', 'compruebas', 'decisión', 'mejor', 'pudiste', 'hacer']"
Hablan de que son muy maduros y es lo menos que intentan hacer .,"['hablan', 'maduros', 'menos', 'intentan', 'hacer']"
Algunas personas son tan dolidas...,"['personas', 'tan', 'dolidas']"
Buen día.,"['buen', 'día']"
La gente si inventa vainas.,"['gente', 'si', 'inventa', 'vainas']"
"No estoy para amores de meses, no estoy para peleas ni estupideces.","['amores', 'meses', 'peleas', 'estupideces']"
Abandona la esperanza.,"['abandona', 'esperanza']"
@SoloConVerte JAJAJAJAJAJAJA las cosas que uno se encuentra,"['soloconverte', 'jajajajajajaja', 'cosas', 'encuentra']"
Tener vacaciones en esta época es otro nivel.,"['tener', 'vacaciones', 'época', 'nivel']"
Que descaro siempre los putos árbitros...,"['descaro', 'siempre', 'putos', 'árbitros']"
@rafaeldudamel metanle presión a los cabrones de los árbitros... Que los expulsen a todos pero que quede el antecedente HASTA CUANDO NJD,"['rafaeldudamel', 'metanle', 'presión', 'cabrones', 'árbitros', 'expulsen', 'quede', 'antecedente', 'njd']"
@HMUCAB Profesor en que salón es la revisión del parcial?,"['hmucab', 'profesor', 'salón', 'revisión', 'parcial']"
"Feliz año gente. Éxitos, salud y felicidad.","['feliz', 'año', 'gente', 'éxitos', 'salud', 'felicidad']"
Dejense de vainas el juego lo boto Pirela con De la Rosa.,"['dejense', 'vainas', 'juego', 'boto', 'pirela', 'rosa']"
Pirela no me jodas como van a votar ese juego así...,"['pirela', 'jodas', 'van', 'votar', 'juego', 'así']"
Solo un día más...,"['solo', 'día']"
Que momentos...  https://t.co/Vst9s26pD2,['momentos']
Siempre hay que ir con todo...,"['siempre', 'ir']"
Pero llora vale...  https://t.co/R8QjBJRgLK,"['llora', 'vale']"
@GomitaVV sisi haste la dura,"['gomitavv', 'sisi', 'haste', 'dura']"
@GomitaVV JAJAJAJA VEN A LLORAR CONMIGO PUES.,"['gomitavv', 'jajajaja', 'ven', 'llorar', 'conmigo', 'pues']"
Esto define todo  https://t.co/MMu1YUoBvk,['define']
Naguevona la gente si es pasada.,"['naguevona', 'gente', 'si', 'pasada']"
Aveces no todo se da como se quiere.,"['aveces', 'da', 'quiere']"
Todo es cuestión de tiempo y esfuerzo.,"['cuestión', 'tiempo', 'esfuerzo']"
"aveces las malas experiencias en el pasado, te hacen tomar una mala decisión en el presente.","['aveces', 'malas', 'experiencias', 'pasado', 'hacen', 'tomar', 'mala', 'decisión', 'presente']"
Que nivel nojodaaa...,"['nivel', 'nojodaaa']"
Que monstruo....,['monstruo']
Malditooo añoooor,"['malditooo', 'añoooor']"
Solo dios sabe lo que hace?,"['solo', 'dios', 'sabe', 'hace']"
Que increíble como la vida da los coñazos... Para mostrar que camino agarrar.,"['increíble', 'vida', 'da', 'coñazos', 'mostrar', 'camino', 'agarrar']"
Mientras mas complicada es ella... Más me atrae.,"['mientras', 'mas', 'complicada', 'atrae']"
@glorybeeth JAJAJAJA tal cuál,"['glorybeeth', 'jajajaja', 'tal', 'cuál']"
Las personas en las que se pueden confiar son contadas...,"['personas', 'pueden', 'confiar', 'contadas']"
Que rápido avanza el año.,"['rápido', 'avanza', 'año']"
Que ladilla... Otra vez chile.,"['ladilla', 'vez', 'chile']"
Les falta potencia mental para tener contundencia...,"['falta', 'potencia', 'mental', 'tener', 'contundencia']"
Coño de su madre...,"['coño', 'madre']"
"Un gran punto a favor, una de las grandes fallas del ciclo de Chita San Vicente.","['gran', 'punto', 'favor', 'grandes', 'fallas', 'ciclo', 'chita', 'san', 'vicente']"
Que gran diferencia el orden en la defensa.,"['gran', 'diferencia', 'orden', 'defensa']"
Cuando me dicen no digas nada...  https://t.co/OYkYHwPsdC,"['dicen', 'digas']"
A estas alturas ya pega el semestre.,"['alturas', 'pega', 'semestre']"
Hoy juega la nuestra... VAMOOOS VINOTINTOOO.,"['hoy', 'juega', 'vamooos', 'vinotintooo']"
Esa felicidad única que da ver a tu selección...,"['felicidad', 'única', 'da', 'ver', 'selección']"
Csm con ese aumento...,"['csm', 'aumento']"
En la lista de 23 no tiene que estar el lobo Guerra.,"['lista', 'lobo', 'guerra']"
Dios te escuche !  https://t.co/ec4SWLzhCN,"['dios', 'escuche']"
Dudamel dejo fuera a Baroja.,"['dudamel', 'dejo', 'baroja']"
Que problema de pana...,"['problema', 'pana']"
@fpetrocelli errores infantiles.... Muy mal vizca y seijas perdido.,"['fpetrocelli', 'errores', 'infantiles', 'mal', 'vizca', 'seijas', 'perdido']"
"Nojoda,  con esos errores de carajitos","['nojoda', 'errores', 'carajitos']"
Coño de la madre hasta cuando el lobo....,"['coño', 'madre', 'lobo']"
GOOOOOOOOOL CARAJOOOOOOOO,"['goooooooool', 'carajoooooooo']"
VAMOOOOOOOOS NOJODAAAA.,"['vamoooooooos', 'nojodaaaa']"
Será que Héctor Agüero está ebrio?.,"['héctor', 'agüero', 'ebrio']"
A ese viejo no se le entiende un coño jajajajaja,"['viejo', 'entiende', 'coño', 'jajajajaja']"
TIEMPOOOOOO NOJODAA!,"['tiempoooooo', 'nojodaa']"
Enero es un eterno lunes.,"['enero', 'eterno', 'lunes']"
@SoyVinotint0 estoy claro jajaja pero es que no se les ve nada de nada y si pierden 2 más ya nos eliminan.,"['soyvinotint', 'claro', 'jajaja', 've', 'si', 'pierden', 'eliminan']"
Los leones están jugando asqueroso.,"['leones', 'jugando', 'asqueroso']"
Uno de los mejores años.,"['mejores', 'años']"
"@ScaryVulture no hay vídeo llevaba un nokia de esos de piedra pero fueron 2 viejas, una le partió la boca a la otra jajajajaja","['scaryvulture', 'vídeo', 'llevaba', 'nokia', 'piedra', 'viejas', 'partió', 'boca', 'jajajajaja']"
Esa coñaza en el metro de hoy &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;.,"['coñaza', 'metro', 'hoy', 'gt', 'gt', 'gt', 'gt', 'gt', 'gt', 'gt', 'gt']"
Ese formato del béisbol venezolano es la cagada.,"['formato', 'béisbol', 'venezolano', 'cagada']"
Que año tan brutal.,"['año', 'tan', 'brutal']"
Ojalá Adalberto Peñaranda no se queme tan rápido y siga creciendo futbolísticamente.,"['ojalá', 'adalberto', 'peñaranda', 'queme', 'tan', 'rápido', 'siga', 'creciendo', 'futbolísticamente']"
Les queda poco  @NicolasMaduro @dcabellor,"['queda', 'nicolasmaduro', 'dcabellor']"
"Y VA A CAER Y VA A CAER ESTE GOBIERNO VA A CAER, Y VA A CAER Y VA A CAER ESTE GOBIERNO VA A CAER...","['va', 'caer', 'va', 'caer', 'gobierno', 'va', 'caer', 'va', 'caer', 'va', 'caer', 'gobierno', 'va', 'caer']"
Se vienen las 13 rascas... A celebrar nojodaaaaa.,"['vienen', 'rascas', 'celebrar', 'nojodaaaaa']"
"Empieza el camino del cambio, por un país seguro, con oportunidades, igualdad y unión...","['empieza', 'camino', 'cambio', 'país', 'seguro', 'oportunidades', 'igualdad', 'unión']"
"No gano la mud, gano el cambio, la esperanza, la alegría y un mejor país.","['gano', 'mud', 'gano', 'cambio', 'esperanza', 'alegría', 'mejor', 'país']"
GANAMOOOOOOOOOS NOJODAAAA,"['ganamooooooooos', 'nojodaaaa']"
"Si son 113 diputados, son 113 peas...","['si', 'diputados', 'peas']"
Coño que den esos resultados YA...,"['coño', 'den', 'resultados']"
Que falsa es la gente.,"['falsa', 'gente']"
@_Atmosphera 12:45 pm,"['atmosphera', 'pm']"
El clásico va estar brutal.,"['clásico', 'va', 'brutal']"
@Esteban_Diido si lo público @fpetrocelli,"['esteban', 'diido', 'si', 'público', 'fpetrocelli']"
"Que cagada, hasta cuando Lucena con la selección...","['cagada', 'lucena', 'selección']"
@fpetrocelli Hasta cuando Lucena...,"['fpetrocelli', 'lucena']"
La soltería se disfruta y la relación se respeta... Así de simple.,"['soltería', 'disfruta', 'relación', 'respeta', 'así', 'simple']"
Días así no se repiten.,"['días', 'así', 'repiten']"
Que día tan brutal.,"['día', 'tan', 'brutal']"
Quiero dormir y despertar con mi título de ingeniero.,"['quiero', 'dormir', 'despertar', 'título', 'ingeniero']"
Me pasó  https://t.co/RRXPGFIxIf,['pasó']
El problema era ese poco de malandros.,"['problema', 'malandros']"
Ese concierto no se veía mal.,"['concierto', 'veía', 'mal']"
Esas conversaciones que siguen desde el domingo hasta un lunes a esta hora.,"['conversaciones', 'siguen', 'domingo', 'lunes', 'hora']"
GOOOOOOOL NOJODAAAAAA.,"['goooooool', 'nojodaaaaaa']"
Menos mal que sacaron al Lobo Guerra.,"['menos', 'mal', 'sacaron', 'lobo', 'guerra']"
Que cáncer el juego de la selección.,"['cáncer', 'juego', 'selección']"
Por capitanes así es que no tienen bolas para jugarle a Brasil.,"['capitanes', 'así', 'bolas', 'jugarle', 'brasil']"
Como coño Tomas Rincón va cambiar camiseta en el primer tiempo.... Y con el tipo que nos mato con 2 goles.,"['coño', 'tomas', 'rincón', 'va', 'cambiar', 'camiseta', 'primer', 'tiempo', 'tipo', 'mato', 'goles']"
Ojalá ganemos mañana para que Chita calle más de una boca.,"['ojalá', 'ganemos', 'mañana', 'chita', 'calle', 'boca']"
Que ladilla esos profesores que ya en la primera semana te mandan exposición,"['ladilla', 'profesores', 'primera', 'semana', 'mandan', 'exposición']"
Una cosa es amistoso y otra cosa es partido oficial.,"['cosa', 'amistoso', 'cosa', 'partido', 'oficial']"
Vamos que lo ganamos.,"['vamos', 'ganamos']"
En mi casa no se ve ni la luna.,"['casa', 've', 'luna']"
Que rápido pasaron las vacaciones.,"['rápido', 'pasaron', 'vacaciones']"
Maldito partido,"['maldito', 'partido']"
